house,2018-07,2018-08,2018-09,2018-10,2018-11
5,4155.718680861905,4155.718680861905,4795.260700535308,2893.9453380967498,2685.246484068777
7,906.8134447380601,906.8134447380601,1039.427121679863,513.3685548197477,752.7839343606393
10,2038.6843945787514,2038.6843945787514,2212.4107048666438,1174.8489277451422,1085.2912854529006
16,2677.018363380148,2677.018363380148,3082.049440110995,1558.505684317977,1350.316824693036
18,1841.8905286591519,1841.8905286591519,1865.7938639783442,997.0489190675993,1151.3298241243317
20,93.11802820232312,93.11802820232312,221.06759604304042,43.3304937290177,26.9546468807996
26,1034.7341475592573,1034.7341475592573,1076.6119544215846,577.3925624799326,886.0942287353987
30,2358.2601649446724,2358.2601649446724,2728.850166355316,962.9425395302998,1079.8797532867625
31,410.5262489444513,410.5262489444513,340.2983250403215,265.1710490667799,163.47134146263696
32,409.341659850861,409.341659850861,338.5725170606811,262.2093825879805,162.3577831688463
35,3.946106243212837,3.946106243212837,3.6322132954688184,2.8657662695536046,2.405906395653664
37,2619.5393217796936,2619.5393217796936,3017.5922579774788,1472.7800690538115,1309.6435991863118
41,1500.655088215589,1500.655088215589,1366.2372209685307,890.3591247683387,1088.9280597594206
42,173.09187441857569,173.09187441857569,344.9697981135617,91.84927770770366,91.74365423171852
43,516.1941565571236,516.1941565571236,492.4051220673138,283.1659974739131,223.57155607719315
44,1499.3759669027222,1499.3759669027222,1399.9273004545744,741.0673198334453,1056.0359961070715
47,51.625806513129206,51.625806513129206,94.1631453742164,32.725408365207734,14.715625926945467
50,2851.396058137621,2851.396058137621,3467.6134594673667,1179.8363676074202,1097.2056870182864
51,7816.6475010187805,7816.6475010187805,8226.106721031778,4376.411699281504,4308.75873044818
55,6698.304894709487,6698.304894709487,7723.256200475568,3451.454384544825,3378.9491796092
59,1691.2938984892153,1691.2938984892153,1907.475848351095,738.9423110080966,1019.372729769402
61,1769.9425254978341,1769.9425254978341,1791.9298625502934,989.5773198082868,1250.8062125692559
62,220.58993066674327,220.58993066674327,217.62868260473965,117.89509846404722,83.12796614611652
67,559.5446459380174,559.5446459380174,530.067672145883,576.5943945974744,652.122402462437
68,2667.6294362696735,2667.6294362696735,2952.2313569581083,2422.415513414569,2007.014065530485
70,297.3990219615321,297.3990219615321,327.72376644281474,436.11106460030646,830.5915717429524
73,183.55139560323371,183.55139560323371,140.75066642501486,54.11131000504446,35.20965286755204
75,946.3354129460693,946.3354129460693,880.7283098146241,907.2814157654924,1053.5882357806872
76,337.79399667372525,337.79399667372525,372.30624676422116,451.46694813371306,674.3640861860272
80,3518.4339244340586,3518.4339244340586,4079.7742685645194,4193.493974746587,4587.764325987519
82,440.4112445239503,440.4112445239503,473.4538120730624,484.29070235100517,629.6218008790324
87,1046.4138135948153,1046.4138135948153,1092.9817682746666,1357.3377010591578,1655.3745870159426
88,195.17742097357348,195.17742097357348,187.36624241127782,274.7020283014846,354.4463418524788
91,691.2014994444484,691.2014994444484,696.4932114721098,810.0191033676579,1147.6630399156004
94,32.689578012515206,32.689578012515206,52.673594341121884,55.25055797699205,47.15040445706616
102,551.3232373393786,551.3232373393786,611.9034240822209,881.8194709182758,1341.4279830870732
105,279.78136579044104,279.78136579044104,236.09237102817033,467.6187425562744,758.2031314842772
106,495.36815191326104,495.36815191326104,455.8988274899637,554.5290021090958,549.8759670930168
107,235.57387764439474,235.57387764439474,220.55697675832468,354.8984326931197,351.92853805218147
110,312.8295451688233,312.8295451688233,243.41021761888615,493.9751275242286,497.19844062798387
111,295.00759753606354,295.00759753606354,307.2146178129876,312.5980076833095,290.97441238985624
116,315.06875855972856,315.06875855972856,307.17316138152773,476.59758697149476,836.6952273886825
120,474.8668337976814,474.8668337976814,507.2696333716857,615.4016755655983,950.1782375552305
123,326.65758479599606,326.65758479599606,345.09176894768774,373.6646556423993,445.7765284454659
124,462.7425724150795,462.7425724150795,507.30867485748223,582.2320031114057,1050.6590741734658
125,443.4280657641092,443.4280657641092,436.81916946154087,629.0419720039839,1023.0007585662423
126,108.18805645717771,108.18805645717771,144.8490477934196,130.90407316608525,118.10439406602468
130,270.25636027965635,270.25636027965635,222.0207460598893,350.05633263585503,296.2549373981551
132,299.16188436986033,299.16188436986033,239.29471843147402,296.3834665842655,261.68701637896885
133,225.6268197908912,225.6268197908912,195.65589523826193,244.7234797101828,213.81763179568793
134,239.45592675122498,239.45592675122498,213.8469640205713,233.98838951342537,218.61960848407094
139,274.1617777691605,274.1617777691605,245.1015659194901,277.60614387183443,253.14979824154827
140,306.77558924696183,306.77558924696183,279.462914676085,282.9832773136361,250.64886648077004
142,341.8688429440721,341.8688429440721,307.0901901280511,349.2187949910804,314.53406340986277
143,147.86292813031423,147.86292813031423,144.82306892801506,142.48743603643663,136.1004798789299
148,209.24409063997447,209.24409063997447,196.6511343408076,204.98976559301656,193.0767615479479
149,233.7495406871214,233.7495406871214,214.67569965441945,232.03972336031194,215.07040423712482
155,222.90716578031476,222.90716578031476,201.04871086996417,222.9906810465498,200.6332967397663
157,188.26457894941944,188.26457894941944,170.7379360336982,173.55021423590344,162.18476025916735
158,192.5583457753158,192.5583457753158,180.65679419563014,188.57180098293279,171.3477531731962
160,210.55874826052104,210.55874826052104,172.2419293779531,232.79259026837525,207.82878331997202
161,352.7748313032286,352.7748313032286,338.07184188011456,338.0407150808728,308.81627191413037
163,198.65877739580048,198.65877739580048,179.64279522352606,210.25686659751975,189.47998024238967
165,206.44877016893798,206.44877016893798,180.17876245230025,237.00928335017952,204.8894141477777
166,361.2594655813132,361.2594655813132,332.865425940401,387.4877752562628,345.02935499682064
172,84.76097872262032,84.76097872262032,80.29717635260663,87.51405045753442,91.85413809042669
175,268.11423048946983,268.11423048946983,246.61132074012068,274.0384292837974,249.8178323084481
176,218.34522356188018,218.34522356188018,194.8479735090295,216.84411090076654,192.8436496829505
177,213.63064585296723,213.63064585296723,186.3183112592763,212.93537390213552,191.83060722202353
178,272.0451869069306,272.0451869069306,255.84952848833433,271.45279248095403,251.13674867278763
183,148.47230507173632,148.47230507173632,140.2665315701566,141.13304609314912,133.87149169322782
186,192.43602108404423,192.43602108404423,176.06693113123202,181.14996230328927,164.18526763534678
187,204.49144325886382,204.49144325886382,185.3835857654207,196.84463077659944,180.99656809262524
192,176.7193177902338,176.7193177902338,135.67499689726677,227.99599131072188,195.64206178079306
194,140.1705136572488,140.1705136572488,118.19128872969777,163.79494209065226,160.6208372248797
195,237.00054560989787,237.00054560989787,216.77630640938497,236.69411550425832,217.1553348397338
196,342.54859686425436,342.54859686425436,332.0014129305603,328.85918381423585,309.17538168137844
200,170.31585514070682,170.31585514070682,158.2768512953634,144.0298497611118,128.8450235325243
201,253.88309143505293,253.88309143505293,228.1506204039689,260.96042931315515,236.73761061943196
205,271.94561839711236,271.94561839711236,254.35117848211837,267.29475207944836,248.95843906359522
206,265.7765477144363,265.7765477144363,228.3171225424608,271.57850883918474,245.20456184440047
211,218.1949832886265,218.1949832886265,196.3660754712978,215.11583759084274,196.48391123630057
213,213.23503327812435,213.23503327812435,197.01793116130878,208.12434466056237,194.80359228603845
214,304.8251080680688,304.8251080680688,284.31508042566225,312.6088422098892,287.5406350524634
215,356.2258203258664,356.2258203258664,328.2720499654142,380.66211032301385,340.16876735345846
216,170.51090652205644,170.51090652205644,152.07545665458562,178.83706874317858,169.21272800817326
217,230.03534662553156,230.03534662553156,167.2341797815963,254.42691284784104,219.02848039083324
218,226.75753406778387,226.75753406778387,199.33650937583113,232.02527624379292,195.17395020411237
